Drug_name	DrugBank_ID	CHEMBL_ID	Gene_name	UniProt	Source	EntrezID
acarbose	DB00284	CHEMBL1566	GAA	P10253	CHEMBL	2548
acebutolol	DB01193	CHEMBL642	ADRB1	P08588	CHEMBL,IUPHAR,BindingDB	153
acebutolol	DB01193	CHEMBL642	ADRB2	P07550	BindingDB	154
aceclofenac	DB06736	CHEMBL93645	MAPK1	P28482	CHEMBL	5594
aceclofenac	DB06736	CHEMBL93645	TTR	P02766	CHEMBL	7276
acetaminophen	DB00316	CHEMBL112	CA1	P00915	CHEMBL,TTD	759
acetaminophen	DB00316	CHEMBL112	CA12	O43570	CHEMBL,TTD,BindingDB	771
acetaminophen	DB00316	CHEMBL112	CA2	P00918	CHEMBL,TTD,BindingDB	760
acetaminophen	DB00316	CHEMBL112	CA3	P07451	CHEMBL	761
acetaminophen	DB00316	CHEMBL112	CA7	P43166	CHEMBL,TTD,BindingDB	766
acetaminophen	DB00316	CHEMBL112	CAH1	Q9V396	BindingDB	759
acetaminophen	DB00316	CHEMBL112	MB	P02144	CHEMBL,BindingDB	4151
acetazolamide	DB00819	CHEMBL20	CA1	P00915	CHEMBL,TTD,IUPHAR,BindingDB	759
acetazolamide	DB00819	CHEMBL20	CA11	O75493	CHEMBL	770
acetazolamide	DB00819	CHEMBL20	CA12	O43570	CHEMBL,TTD,IUPHAR,BindingDB	771
acetazolamide	DB00819	CHEMBL20	CA13	Q8N1Q1	CHEMBL	377677
acetazolamide	DB00819	CHEMBL20	CA14	Q9ULX7	CHEMBL,TTD,IUPHAR	23632
acetazolamide	DB00819	CHEMBL20	CA2	P00918	CHEMBL,TTD,BindingDB	760
acetazolamide	DB00819	CHEMBL20	CA3	P07451	CHEMBL	761
acetazolamide	DB00819	CHEMBL20	CA4	P22748	CHEMBL,TTD,IUPHAR,BindingDB	762
acetazolamide	DB00819	CHEMBL20	CA5A	P35218	CHEMBL,BindingDB,BindingDB	763
acetazolamide	DB00819	CHEMBL20	CA5B	Q9Y2D0	CHEMBL	11238
acetazolamide	DB00819	CHEMBL20	CA6	P23280	CHEMBL,TTD	765
acetazolamide	DB00819	CHEMBL20	CA7	P43166	CHEMBL,TTD,IUPHAR,BindingDB	766
acetazolamide	DB00819	CHEMBL20	CA9	Q16790	CHEMBL,TTD,BindingDB	768
acetazolamide	DB00819	CHEMBL20	CAH1	Q9V396	BindingDB	759
acetic acid	DB03166	CHEMBL539	FYN	P06241	CHEMBL	2534
acetic acid	DB03166	CHEMBL539	LCK	P06239	CHEMBL	3932
acetylcholine	DB03128	CHEMBL667	CHRM1	P11229	CHEMBL,TTD	1128
acetylcholine	DB03128	CHEMBL667	CHRM2	P08172	CHEMBL,TTD	1129
acetylcholine	DB03128	CHEMBL667	CHRM3	P20309	CHEMBL,TTD,BindingDB	1131
acetylcholine	DB03128	CHEMBL667	CHRM4	ACM4_HUMAN	TTD	1132
acetylcholine	DB03128	CHEMBL667	CHRM5	ACM5_HUMAN	TTD,BindingDB	1133
acetylcholine	DB03128	CHEMBL667	CHRNA4	P43681	BindingDB	1137
acetylcholine	DB03128	CHEMBL667	CHRNA7	ACHA7_HUMAN	TTD,BindingDB	1139
acetylcholine	DB03128	CHEMBL667	CHRNB2	P17787	CHEMBL	1141
acetylcholine	DB03128	CHEMBL667	GALR3	O60755	BindingDB	8484
acipimox	DB09055	CHEMBL345714	HCAR2	HCAR2_HUMAN	TTD,IUPHAR	338442
aclidinium	DB08897	CHEMBL1194325	CHRM1	ACM1_HUMAN	TTD,IUPHAR	1128
aclidinium	DB08897	CHEMBL1194325	CHRM2	ACM2_HUMAN	TTD,IUPHAR	1129
aclidinium	DB08897	CHEMBL1194325	CHRM3	P20309	CHEMBL,TTD,IUPHAR,BindingDB	1131
aclidinium	DB08897	CHEMBL1194325	CHRM4	ACM4_HUMAN	TTD,IUPHAR	1132
aclidinium	DB08897	CHEMBL1194325	CHRM5	ACM5_HUMAN	TTD,IUPHAR,BindingDB	1133
adapalene	DB00210	CHEMBL1265	GLRA1	P23415	CHEMBL,TTD	2741
adapalene	DB00210	CHEMBL1265	HSPD1	P10809	CHEMBL	3329
adapalene	DB00210	CHEMBL1265	RARA	P10276	CHEMBL,TTD,IUPHAR,BindingDB	5914
adapalene	DB00210	CHEMBL1265	RARB	P10826	CHEMBL,TTD,IUPHAR,BindingDB	5915
adapalene	DB00210	CHEMBL1265	RARG	P13631	CHEMBL,TTD,IUPHAR,BindingDB	5916
adapalene	DB00210	CHEMBL1265	RXRB	P28702	BindingDB	6257
adapalene	DB00210	CHEMBL1265	RXRG	P48443	BindingDB	6258
ademetionine	DB00118	CHEMBL1088977	PNMT	P11086	CHEMBL	5409
adenosine	DB00640	CHEMBL477	ADORA1	AA1R_HUMAN	TTD,IUPHAR,BindingDB	134
adenosine	DB00640	CHEMBL477	ADORA2A	P29274	CHEMBL,TTD,IUPHAR,BindingDB	135
adenosine	DB00640	CHEMBL477	ADORA3	AA3R_HUMAN	TTD,IUPHAR,BindingDB	140
adenosine	DB00640	CHEMBL477	MAP3K7	O43318	CHEMBL,BindingDB	6885
adenosine	DB00640	CHEMBL477	PI4K2A	Q9BTU6	IUPHAR	55361
adenosine	DB00640	CHEMBL477	PI4K2B	Q8TCG2	IUPHAR	55300
adenosine	DB00640	CHEMBL477	SLC28A1	O00337	BindingDB	9154
adenosine	DB00640	CHEMBL477	SLC28A2	S28A2_HUMAN	TTD,BindingDB	9153
adenosine	DB00640	CHEMBL477	SLC28A3	Q9HAS3	BindingDB	64078
afamelanotide	DB04931	CHEMBL441738	ADA	P00813	CHEMBL	100
afamelanotide	DB04931	CHEMBL441738	MC1R	Q01726	CHEMBL,IUPHAR	4157
afamelanotide	DB04931	CHEMBL441738	MC3R	P41968	CHEMBL,IUPHAR	4159
afamelanotide	DB04931	CHEMBL441738	MC4R	P32245	CHEMBL,IUPHAR	4160
afamelanotide	DB04931	CHEMBL441738	MC5R	P33032	CHEMBL,IUPHAR	4161
afatinib	DB08916	CHEMBL1173655	ABL1	P00519	CHEMBL,BindingDB	25
afatinib	DB08916	CHEMBL1173655	AXL	P30530	CHEMBL	558
afatinib	DB08916	CHEMBL1173655	BLK	P51451	CHEMBL	640
afatinib	DB08916	CHEMBL1173655	CIT	O14578	CHEMBL,BindingDB	11113
afatinib	DB08916	CHEMBL1173655	CSNK1E	P49674	CHEMBL	1454
afatinib	DB08916	CHEMBL1173655	DYRK1A	Q13627	CHEMBL,BindingDB	1859
afatinib	DB08916	CHEMBL1173655	DYRK1B	Q9Y463	CHEMBL	9149
afatinib	DB08916	CHEMBL1173655	DYRK2	Q92630	CHEMBL,BindingDB	8445
afatinib	DB08916	CHEMBL1173655	EGFR	P00533	CHEMBL,IUPHAR	1956
afatinib	DB08916	CHEMBL1173655	EPHA3	P29320	BindingDB	2042
afatinib	DB08916	CHEMBL1173655	EPHA6	Q9UF33	CHEMBL	285220
afatinib	DB08916	CHEMBL1173655	EPHB6	O15197	CHEMBL	2051
afatinib	DB08916	CHEMBL1173655	ERBB2	P04626	CHEMBL,IUPHAR	2064
afatinib	DB08916	CHEMBL1173655	ERBB3	P21860	CHEMBL	2065
afatinib	DB08916	CHEMBL1173655	ERBB4	Q15303	CHEMBL,BindingDB	2066
afatinib	DB08916	CHEMBL1173655	FLT3	P36888	CHEMBL,BindingDB,BindingDB	2322
afatinib	DB08916	CHEMBL1173655	FRK	P42685	CHEMBL	2444
afatinib	DB08916	CHEMBL1173655	GAK	O14976	CHEMBL,BindingDB	2580
afatinib	DB08916	CHEMBL1173655	HCK	P08631	CHEMBL	3055
afatinib	DB08916	CHEMBL1173655	HIPK4	Q8NE63	CHEMBL,BindingDB	147746
afatinib	DB08916	CHEMBL1173655	IRAK1	P51617	CHEMBL	3654
afatinib	DB08916	CHEMBL1173655	LCK	P06239	CHEMBL	3932
afatinib	DB08916	CHEMBL1173655	MAP2K5	Q13163	CHEMBL,BindingDB	5607
afatinib	DB08916	CHEMBL1173655	MAPK10	P53779	CHEMBL	5602
afatinib	DB08916	CHEMBL1173655	MAPK14	Q16539	CHEMBL,BindingDB	1432
afatinib	DB08916	CHEMBL1173655	MAPK9	P45984	CHEMBL,BindingDB	5601
afatinib	DB08916	CHEMBL1173655	MET	P08581	CHEMBL,BindingDB	4233
afatinib	DB08916	CHEMBL1173655	MKNK1	Q9BUB5	CHEMBL,BindingDB	8569
afatinib	DB08916	CHEMBL1173655	MKNK2	Q9HBH9	CHEMBL	2872
afatinib	DB08916	CHEMBL1173655	PHKG1	Q16816	CHEMBL,BindingDB	5260
afatinib	DB08916	CHEMBL1173655	PHKG2	P15735	CHEMBL	5261
afatinib	DB08916	CHEMBL1173655	RIPK1	Q13546	BindingDB	8737
afatinib	DB08916	CHEMBL1173655	RIPK2	O43353	CHEMBL	8767
afatinib	DB08916	CHEMBL1173655	RPS6KA6	Q9UK32	CHEMBL	27330
afatinib	DB08916	CHEMBL1173655	SBK1	Q52WX2	CHEMBL,BindingDB	388228
afatinib	DB08916	CHEMBL1173655	SLK	Q9H2G2	CHEMBL,BindingDB	9748
afatinib	DB08916	CHEMBL1173655	SRC	P12931	CHEMBL	6714
afatinib	DB08916	CHEMBL1173655	STK10	O94804	CHEMBL,BindingDB	6793
afatinib	DB08916	CHEMBL1173655	STK17A	Q9UEE5	CHEMBL,BindingDB	9263
afatinib	DB08916	CHEMBL1173655	TXK	P42681	CHEMBL	7294
agomelatine	DB06594	CHEMBL10878	HTR2A	P28223	IUPHAR	3356
agomelatine	DB06594	CHEMBL10878	HTR2B	P41595	IUPHAR,BindingDB	3357
agomelatine	DB06594	CHEMBL10878	HTR2C	P28335	CHEMBL,IUPHAR,BindingDB	3358
agomelatine	DB06594	CHEMBL10878	MTNR1A	P48039	CHEMBL,IUPHAR,BindingDB	4543
agomelatine	DB06594	CHEMBL10878	MTNR1B	P49286	CHEMBL,IUPHAR	4544
alectinib	DB11363	CHEMBL1738797	ALK	Q9UM73	CHEMBL,TTD,IUPHAR	238
alectinib	DB11363	CHEMBL1738797	KDR	P35968	CHEMBL,TTD	3791
alectinib	DB11363	CHEMBL1738797	KIT	KIT_HUMAN	TTD	3815
alectinib	DB11363	CHEMBL1738797	MET	MET_HUMAN	TTD,IUPHAR	4233
alectinib	DB11363	CHEMBL1738797	RET	P07949	CHEMBL,TTD	5979
alectinib	DB11363	CHEMBL1738797	ROS1	P08922	CHEMBL,TTD	6098
alectinib	DB11363	CHEMBL1738797	SRPK1	Q96SB4	CHEMBL,TTD	6732
alendronic acid	DB00630	CHEMBL870	FDPS	P14324	CHEMBL,BindingDB	2224
alfacalcidol	DB01436	CHEMBL1601669	SLC6A2	P23975	CHEMBL	6530
alfuzosin	DB00346	CHEMBL709	ACHE	P22303	CHEMBL,TTD,BindingDB	43
alfuzosin	DB00346	CHEMBL709	ADRA1A	P35348	CHEMBL,TTD,IUPHAR,BindingDB	148
alfuzosin	DB00346	CHEMBL709	ADRA1B	P35368	CHEMBL,TTD,IUPHAR	147
alfuzosin	DB00346	CHEMBL709	ADRA1D	P25100	CHEMBL,TTD,IUPHAR	146
alirocumab	DB09302	CHEMBL2109540	PCSK9	Q8NBP7	IUPHAR	255738
aliskiren	DB09026	CHEMBL1639	REN	P00797	CHEMBL,TTD,IUPHAR,BindingDB	5972
alitretinoin	DB00523	CHEMBL705	NR1H2	P55055	CHEMBL,TTD	7376
alitretinoin	DB00523	CHEMBL705	NR1H3	Q13133	CHEMBL,TTD,BindingDB	10062
alitretinoin	DB00523	CHEMBL705	NR4A1	P22736	CHEMBL	3164
alitretinoin	DB00523	CHEMBL705	RARA	P10276	CHEMBL,TTD,IUPHAR,BindingDB	5914
alitretinoin	DB00523	CHEMBL705	RARB	P10826	CHEMBL,TTD,IUPHAR,BindingDB	5915
alitretinoin	DB00523	CHEMBL705	RARG	P13631	CHEMBL,TTD,IUPHAR,BindingDB	5916
alitretinoin	DB00523	CHEMBL705	RXRA	P19793	CHEMBL,TTD,IUPHAR,BindingDB	6256
alitretinoin	DB00523	CHEMBL705	RXRB	P28702	CHEMBL,TTD,BindingDB	6257
alitretinoin	DB00523	CHEMBL705	RXRG	P48443	CHEMBL,TTD,IUPHAR,BindingDB	6258
allopurinol	DB00437	CHEMBL1467	XDH	P47989	CHEMBL,IUPHAR,BindingDB	7498
almotriptan	DB00918	CHEMBL1505	HTR1B	P28222	IUPHAR	3351
almotriptan	DB00918	CHEMBL1505	HTR1D	P28221	IUPHAR	3352
alogliptin	DB06203	CHEMBL376359	CYP2C9	CP2C9_HUMAN	TTD	1559
alogliptin	DB06203	CHEMBL376359	CYP2D6	CP2D6_HUMAN	TTD	1565
alogliptin	DB06203	CHEMBL376359	CYP3A4	CP3A4_HUMAN	TTD	1576
alogliptin	DB06203	CHEMBL376359	DPP4	P27487	CHEMBL,TTD,IUPHAR,BindingDB	1803
alosetron	DB00969	CHEMBL1110	ABCC1	O35379	BindingDB	4363
alosetron	DB00969	CHEMBL1110	CYP1A2	P05177	CHEMBL	1544
alosetron	DB00969	CHEMBL1110	CYP2B6	CP2B6_HUMAN	TTD	1555
alosetron	DB00969	CHEMBL1110	CYP2C9	CP2C9_HUMAN	TTD	1559
alosetron	DB00969	CHEMBL1110	CYP2D6	CP2D6_HUMAN	TTD	1565
alosetron	DB00969	CHEMBL1110	CYP3A4	CP3A4_HUMAN	TTD	1576
alosetron	DB00969	CHEMBL1110	HTR2B	P41595	CHEMBL	3357
alosetron	DB00969	CHEMBL1110	HTR3A	P46098	CHEMBL,TTD,IUPHAR,BindingDB	3359
alosetron	DB00969	CHEMBL1110	KCNH2	Q12809	CHEMBL,TTD	3757
alpelisib	DB12015	CHEMBL2396661	ATM	ATM_HUMAN	TTD	472
alpelisib	DB12015	CHEMBL2396661	ATR	ATR_HUMAN	TTD	545
alpelisib	DB12015	CHEMBL2396661	CYP3A4	CP3A4_HUMAN	TTD	1576
alpelisib	DB12015	CHEMBL2396661	MTOR	P42345	CHEMBL,TTD	2475
alpelisib	DB12015	CHEMBL2396661	PIK3CA	P42336	CHEMBL,TTD,IUPHAR	5290
alpelisib	DB12015	CHEMBL2396661	PIK3CB	P42338	CHEMBL,TTD,IUPHAR	5291
alpelisib	DB12015	CHEMBL2396661	PIK3CD	O00329	CHEMBL,TTD,IUPHAR	5293
alpelisib	DB12015	CHEMBL2396661	PIK3CG	P48736	CHEMBL,TTD,IUPHAR	5294
alpelisib	DB12015	CHEMBL2396661	PIK3R1	P27986	CHEMBL	5295
alpelisib	DB12015	CHEMBL2396661	PRKDC	PRKDC_HUMAN	TTD	5591
alpelisib	DB12015	CHEMBL2396661	TP53	P53_HUMAN	TTD	7157
alprazolam	DB00404	CHEMBL661	BRD4	O60885	CHEMBL	23476
alprazolam	DB00404	CHEMBL661	GABRA1	P14867	CHEMBL,TTD,IUPHAR,BindingDB	2554
alprazolam	DB00404	CHEMBL661	GABRA2	P47869	CHEMBL,TTD,IUPHAR	2555
alprazolam	DB00404	CHEMBL661	GABRA3	P34903	CHEMBL,TTD,IUPHAR,BindingDB	2556
alprazolam	DB00404	CHEMBL661	GABRA5	P31644	CHEMBL,TTD,IUPHAR,BindingDB	2558
alprazolam	DB00404	CHEMBL661	PTAFR	P25105	BindingDB	5724
alprostadil	DB00770	CHEMBL495	ABCC4	MRP4_HUMAN	TTD	10257
alprostadil	DB00770	CHEMBL495	PTGIR	P43119	CHEMBL,TTD	5739
altretamine	DB00488	CHEMBL1455	CYP1A2	P05177	CHEMBL	1544
alverine	DB01616	CHEMBL253371	PLIN1	O60240	BindingDB	5346
alverine	DB01616	CHEMBL253371	PLIN5	Q00G26	BindingDB	440503
alvimopan	DB06274	CHEMBL270190	CACNA1C	CAC1C_HUMAN	TTD	775
alvimopan	DB06274	CHEMBL270190	CACNB2	Q9MZL5	BindingDB	783
alvimopan	DB06274	CHEMBL270190	OPRD1	P41143	CHEMBL,TTD,IUPHAR,BindingDB	4985
alvimopan	DB06274	CHEMBL270190	OPRK1	P41145	CHEMBL,TTD,IUPHAR	4986
alvimopan	DB06274	CHEMBL270190	OPRM1	P35372	CHEMBL,TTD,IUPHAR,BindingDB	4988
amantadine	DB00915	CHEMBL660	GRIN1	Q05586	CHEMBL	2902
amantadine	DB00915	CHEMBL660	SIGMAR1	Q99720	CHEMBL,TTD,BindingDB	10280
ambenonium	DB01122	CHEMBL1652	ACHE	P04058	BindingDB	43
ambenonium	DB01122	CHEMBL1652	BCHE	P06276	BindingDB	590
ambrisentan	DB06403	CHEMBL1111	EDNRA	P25101	CHEMBL,TTD,IUPHAR	1909
ambrisentan	DB06403	CHEMBL1111	EDNRB	P24530	CHEMBL,TTD,IUPHAR	1910
amifostine	DB01143	CHEMBL1006	DRD3	P35462	CHEMBL	1814
amiloride	DB00594	CHEMBL945	ADORA2A	P29274	CHEMBL,TTD	135
amiloride	DB00594	CHEMBL945	ASIC1	P78348	IUPHAR	41
amiloride	DB00594	CHEMBL945	ASIC3	Q9UHC3	CHEMBL,TTD	9311
amiloride	DB00594	CHEMBL945	MAOA	P21397	CHEMBL	4128
amiloride	DB00594	CHEMBL945	PLAU	P00749	CHEMBL,TTD	5328
amiloride	DB00594	CHEMBL945	SCNN1A	P37088	CHEMBL	6337
aminocaproic acid	DB00513	CHEMBL1046	PLG	P00747	CHEMBL,BindingDB	5340
aminoglutethimide	DB00357	CHEMBL488	CYP19A1	P11511	CHEMBL,TTD,BindingDB	1588
aminohippuric acid	DB00345	CHEMBL463	SLC22A6	Q4U2R8	CHEMBL	9356
aminosalicylic acid	DB00233	CHEMBL1169	PTPN1	P18031	BindingDB	5770
amiodarone	DB01118	CHEMBL633	ABCB1	P08183	CHEMBL,TTD	5243
amiodarone	DB01118	CHEMBL633	ABCB11	ABCBB_HUMAN	TTD	8647
amiodarone	DB01118	CHEMBL633	ADORA3	P0DMS8	CHEMBL	140
amiodarone	DB01118	CHEMBL633	ADRA2A	P08913	CHEMBL	150
amiodarone	DB01118	CHEMBL633	ADRA2B	P18089	CHEMBL	151
amiodarone	DB01118	CHEMBL633	BDKRB2	P30411	CHEMBL	624
amiodarone	DB01118	CHEMBL633	CACNA1C	P22002	BindingDB	775
amiodarone	DB01118	CHEMBL633	CCR2	P41597	CHEMBL	729230
amiodarone	DB01118	CHEMBL633	CHRM1	P11229	CHEMBL	1128
amiodarone	DB01118	CHEMBL633	CHRM2	P08172	CHEMBL	1129
amiodarone	DB01118	CHEMBL633	CHRM3	P20309	CHEMBL	1131
amiodarone	DB01118	CHEMBL633	CHRM4	P08173	CHEMBL	1132
amiodarone	DB01118	CHEMBL633	CHRM5	P08912	CHEMBL	1133
amiodarone	DB01118	CHEMBL633	DHCR7	Q9UBM7	BindingDB	1717
amiodarone	DB01118	CHEMBL633	DRD1	P21728	CHEMBL	1812
amiodarone	DB01118	CHEMBL633	DRD2	P14416	CHEMBL	1813
amiodarone	DB01118	CHEMBL633	DRD3	P35462	CHEMBL	1814
amiodarone	DB01118	CHEMBL633	DRD4	P21917	CHEMBL	1815
amiodarone	DB01118	CHEMBL633	EBP	Q15125	CHEMBL,TTD	10682
amiodarone	DB01118	CHEMBL633	ERBB2	P04626	CHEMBL	2064
amiodarone	DB01118	CHEMBL633	FDFT1	P37268	CHEMBL,TTD,BindingDB	2222
amiodarone	DB01118	CHEMBL633	FYN	P06241	CHEMBL	2534
amiodarone	DB01118	CHEMBL633	HTR2A	P28223	CHEMBL	3356
amiodarone	DB01118	CHEMBL633	HTR2B	P41595	CHEMBL	3357
amiodarone	DB01118	CHEMBL633	HTR2C	P28335	CHEMBL	3358
amiodarone	DB01118	CHEMBL633	HTR6	P50406	CHEMBL	3362
amiodarone	DB01118	CHEMBL633	KCNH2	KCNH2_HUMAN	TTD,BindingDB	3757
amiodarone	DB01118	CHEMBL633	MC5R	P33032	CHEMBL	4161
amiodarone	DB01118	CHEMBL633	OPRD1	P41143	CHEMBL	4985
amiodarone	DB01118	CHEMBL633	OPRK1	P41145	CHEMBL	4986
amiodarone	DB01118	CHEMBL633	OPRM1	P35372	CHEMBL	4988
amiodarone	DB01118	CHEMBL633	SIGMAR1	Q99720	CHEMBL,TTD,BindingDB	10280
amiodarone	DB01118	CHEMBL633	SIRT3	Q9NTG7	CHEMBL	23410
amiodarone	DB01118	CHEMBL633	SLC6A2	P23975	CHEMBL	6530
amiodarone	DB01118	CHEMBL633	SLC6A3	Q01959	CHEMBL	6531
amiodarone	DB01118	CHEMBL633	SLC6A4	P31645	CHEMBL	6532
amiodarone	DB01118	CHEMBL633	TACR2	P21452	CHEMBL	6865
amiodarone	DB01118	CHEMBL633	THRA	P10827	CHEMBL,TTD,BindingDB	7067
amiodarone	DB01118	CHEMBL633	THRB	P10828	CHEMBL,TTD,BindingDB	7068
amisulpride	DB06288	CHEMBL243712	DRD2	DRD2_HUMAN	TTD,IUPHAR	1813
amisulpride	DB06288	CHEMBL243712	DRD3	DRD3_HUMAN	TTD	1814
amisulpride	DB06288	CHEMBL243712	HTR1B	Q9N2B7	BindingDB	3351
amisulpride	DB06288	CHEMBL243712	HTR1D	Q61224	BindingDB	3352
amisulpride	DB06288	CHEMBL243712	HTR2A	5HT2A_HUMAN	TTD	3356
amisulpride	DB06288	CHEMBL243712	HTR2B	5HT2B_HUMAN	TTD,BindingDB	3357
amisulpride	DB06288	CHEMBL243712	HTR6	P50406	BindingDB	3362
amisulpride	DB06288	CHEMBL243712	HTR7	5HT7R_HUMAN	TTD,BindingDB	3363
amitriptyline	DB00321	CHEMBL629	ADRA1A	P35348	BindingDB	148
amitriptyline	DB00321	CHEMBL629	ADRA1D	P25100	CHEMBL	146
amitriptyline	DB00321	CHEMBL629	ADRA2A	P08913	CHEMBL	150
amitriptyline	DB00321	CHEMBL629	ADRA2B	P18089	CHEMBL	151
amitriptyline	DB00321	CHEMBL629	ADRA2C	P18825	CHEMBL	152
amitriptyline	DB00321	CHEMBL629	CHRM1	P11229	CHEMBL,IUPHAR	1128
amitriptyline	DB00321	CHEMBL629	CHRM2	P08172	CHEMBL,IUPHAR	1129
amitriptyline	DB00321	CHEMBL629	CHRM3	P20309	CHEMBL,IUPHAR,BindingDB	1131
amitriptyline	DB00321	CHEMBL629	CHRM4	P08173	CHEMBL,IUPHAR	1132
amitriptyline	DB00321	CHEMBL629	CHRM5	P08912	CHEMBL,IUPHAR,BindingDB	1133
amitriptyline	DB00321	CHEMBL629	DRD1	P21728	CHEMBL,TTD	1812
amitriptyline	DB00321	CHEMBL629	DRD2	P14416	CHEMBL,TTD	1813
amitriptyline	DB00321	CHEMBL629	DRD3	P35462	CHEMBL,TTD	1814
amitriptyline	DB00321	CHEMBL629	DRD5	P21918	CHEMBL,TTD	1816
amitriptyline	DB00321	CHEMBL629	HRH1	P35367	CHEMBL,TTD,IUPHAR,BindingDB	3269
amitriptyline	DB00321	CHEMBL629	HRH2	P25021	CHEMBL	3274
amitriptyline	DB00321	CHEMBL629	HRH3	HRH3_HUMAN	TTD	11255
amitriptyline	DB00321	CHEMBL629	HRH4	Q91ZY3	BindingDB	59340
amitriptyline	DB00321	CHEMBL629	HTR2A	P28223	CHEMBL	3356
amitriptyline	DB00321	CHEMBL629	HTR2B	P41595	CHEMBL	3357
amitriptyline	DB00321	CHEMBL629	HTR2C	P28335	CHEMBL,BindingDB	3358
amitriptyline	DB00321	CHEMBL629	HTR6	P50406	CHEMBL,IUPHAR,BindingDB	3362
amitriptyline	DB00321	CHEMBL629	KCNH2	Q12809	CHEMBL,TTD,BindingDB	3757
amitriptyline	DB00321	CHEMBL629	LPAR1	Q92633	IUPHAR	1902
amitriptyline	DB00321	CHEMBL629	RET	P07949	CHEMBL,BindingDB	5979
amitriptyline	DB00321	CHEMBL629	SCN2A	Q99250	CHEMBL,TTD	6326
amitriptyline	DB00321	CHEMBL629	SCN5A	Q14524	CHEMBL,TTD	6331
amitriptyline	DB00321	CHEMBL629	SCN9A	Q15858	CHEMBL,TTD	6335
amitriptyline	DB00321	CHEMBL629	SIGMAR1	Q99720	CHEMBL	10280
amitriptyline	DB00321	CHEMBL629	SLC6A2	P23975	CHEMBL,TTD,IUPHAR	6530
amitriptyline	DB00321	CHEMBL629	SLC6A3	Q01959	CHEMBL,TTD,BindingDB	6531
